Comentario_Procesado,Criterio,Polaridad
 funcionalidad   queda  clara   si  usuario  registrado   autentica   necesita volverse  registrar,Casos de uso,-1
numeracion  existe  ninguno   casos  uso     include  estan bien aplicados   si llama  caso  uso ingresar  sistema  llamara automaticamente  autenticar usuario    ves tambien  consular usuario  luego  registrar usuario   si  usuario  registrado    necesario volver  registrarlo   empleado genera  contrato    da opcion  imprimirlo entonces  estaria aplicado bien  includes   extends,Comunicación,-1
 diagrama  caso  uso contiene  autores  estan relacionados  observa  diseno  entendible  observador  caso  uso tambien  observa  posee  codigo  autentificacion,Diseño,1
 diagrama  caso  uso  autores estan bien especificado  puede observar  funcionalidad  realiza   sistema,Actores,1
comenzando   sintaxis  observa  obtiene  sintaxis correcta   hora  aplicar  objeto   verbo  caso  uso  encuentra ordenados   codigo correspondiente  respecto   funcionalidad  bastante adecuado  caso  uso,Casos de uso,1
aplica  bien  include   extends   diagrama  caso  uso  aplica herencia  caso  uso correctamente,Comunicación,1
 estructura  caso  uso   bien definida,Diseño,1
cada    actores especificados   caso  uso  necesarios,Actores,1
 sintaxis utilizada  escribir  nombre   casos  uso  correcta  existe numeracion   casos  usos   casos  uso estan completos   funcionalidad  caso  uso registrar usuario   descrita  forma correcta,Casos de uso,0
existe  utilizacion  forma correcta   include  extend  casos  usos  herencia    correcta   caso  uso,Comunicación,0
 plantilla presenta  estructura correcta posee  casos  usos   actores necesarios si existe comunicacion   casos  usos  actores,Diseño,1
 especificaron  actores necesarios  correspondientes   correcto funcionamiento  sistema  actores especificados cumplen   requerimientos  caso  uso,Actores,1
 existe  numeracion correspondiente  cada caso  uso  casos  uso  encuentran correctamente estructurados   verbo  infinitivo mas  objeto  casos  usos indican correctamente  funcionalidad  realizan,Casos de uso,0
existen casos  usos   conectan   innecesariamente  herencia  encuentra aplicada  forma adecuada   necesario aplicar herencia   problematica  uso  include   extend  correcto,Comunicación,0
posee  estructura correcta   casos  uso     actores involucrados relacionados  si   caso  uso   numeracion,Diseño,0
 actores encontrados   correctos     necesarios    sistema funcione  manera correcta  nombres   actores representan correctamente  actores  interactuaran   sistema,Actores,1
 sintaxis   casos  usos   adecuada    compuesto  verbo mas objeto  casos  uso   numeracion ordenada  dificultando  entendimiento   procesos ,Casos de uso,0
 direccion   flecha   includes  extends  mal ubicada utilizandolos  forma incorrecta  herencia  casos  uso  encuentra correcta,Comunicación,-1
 estructura  correcta abarcando  actores necesarios   desarrollo  sistema,Diseño,1
  actores  necesarios   sistema,Actores,1
ningun caso  uso   numeracion correspondiente   casos  usos estan completos   desarrollo  sistema,Casos de uso,0
 uso  extend   include   utilizo  manera  correcta,Comunicación,1
 estructura   bien elaborada  q  encuentran relaciones   deben   casos  uso    mejor   casos realizan  misma funcionalidad,Diseño,-1
   actores correspondientes   encuentran fallas   herencia   mismos,Actores,0
 funcionalidad    correcta   sintaxis    adecuada existen casos  uso  realizan  misma funcion       da  entender   diagrama  relaciones   casos  uso estan mal elaboradas  mal colocadas,Casos de uso,-1
 herencias  estan bien elaboradas existen incluye innecesarios  mal colocados   extendi  concuerdan   caso  uso   palabras     deben tener relacion,Comunicación,-1
 presencia  cantidad   actores  correcta  relaciones  casos  uso  debio haber omitido   crean relaciones innecesarias,Diseño,0
  actores escogidos  fundamentales   sistema,Actores,1
 funcionalidad  correcta  casos  uso   numeracion existen casos  uso innecesarios  ingresar  sistema  casos  uso  deberian  conectados  registrar usuario  conectado  consultar flotas_vehiculos  objetos baja_vehiculo  alta_vehiculo  pudieron haber tratado  forma diferente   tener dos objetos diferentes  nombres   casos  uso si estan correctos   verbo  infinitivo mas  objeto,Casos de uso,0
 deberia haber herencia   actores  extends   include  realizaron  manera correcta,Comunicación,0
 estructura   casos  correcta pues posee   actores involucrados    caso  uso relacionados  si    posee   alineacion  cada caso  uso  numeracion,Diseño,0
 actores plasmados   adecuados pues   necesarios    sistema  lleve  cabo  nombres   actores   adecuados    realizaran cada funcion especificada,Actores,1
 conformacion   sintaxis  correcta    posee  verbo mas objeto  existe  numeracion ordenada  cada caso  uso dificultando  entendimiento  orden  procesos  ejecutarse,Casos de uso,0
  comunicacion  casos  usos   bien    casos  usos  direccion   flecha   includes  extends  mal colocada  herencia  casos  uso  correcta,Comunicación,-1
 estructura  sistema   encuentra bien definida existen varios caso  uso  estan definido correctamente  cantidad  actores estan   correcto,Diseño,0
 actores  encuentran definido correctamente,Actores,1
 funcionalidad   casos  uso    correcto  existen varios errores  momento  llamarlos  conectarlo  existen relacion   caso  uso  objetos usuario  respecto  flota_vehiculo  existen relacion  conectarse   datos totalmente diferentes,Casos de uso,0
 comunicacion   funcionalidades   correcto   funcionalidad gestionar flota    encuentra especificado  eliminacion registro  modificacion   vehiculo  furgoneta     extends  realizar baja_vehiculo  encuentro   error,Comunicación,-1
 diagrama  caso  estudio presenta  actores involucrados  igual   casos  uso presentan relacion  medio  include  extend     momento presenta  estructura logica,Diseño,1
 presentacion   actores  diagrama  casos  uso  correcta   estan   actores involucrados   proceso  igual   actores  interactuan  diferentes formas   sistema,Actores,1
  diagrama  casos  uso   mayoria   procesos existe funcionalidad  excepcion      presenta  mal uso   relacion extend   sintaxis  mismo  bueno existe  correcta numeracion   casos  uso  presenta   casos  usos necesarios   funcionamiento  sistema  uso   verbos  infinitivo   objeto  implementados  forma correcta,Casos de uso,0
 uso   extend  include dentro  diagrama  clases  ciertas relaciones  casos  uso  fallas     presentan  uso  necesidad   forma incorrecta    permite  fujo  proceso   parte  presenta herencias,Comunicación,-1
 diseno  bien implementado contiene   requerimientos solicitados   sistema   errores   funcionamiento,Diseño,0
contiene   actores   solicito   requerimientos estan bien enlazados   casos  usos,Actores,1
 casos  usos estan bien estructurados contienen  comunicacion  verbo mas objeto bien definidos,Casos de uso,1
 comunicacion  bastante adecuada   uso  include   extend  errores,Comunicación,0
contiene  estructura ordenada    actores  intervienen   casos  uso,Diseño,1
 actores  indicados  cumplen cada funcion especifica   necesarios   sistema,Actores,1
cumple    casos  uso  verbo  infinitivo  estan completos   manera clara,Casos de uso,1
  uso  include  extend   manera correctaa excepcion   extends  deberian ser includes   registrar deberia consultarlo   include     extend,Comunicación,0
 estructura  diagrama  caso  uso  entendible   contiene  respectivos casos  uso actores    relacion logica  cada   ,Diseño,1
si   utilizado  actores correspondientes   hora  disenar  diagrama respectivo     personajes involucrados expuestos anteriormente,Actores,1
 casos  uso utilizados   diagrama   adecuados estan bien disenados  funcionalidad  facil  entender  comprension puede ocasionar poca logica   hora  analizar  requerimientos,Casos de uso,1
  utilizado bien   mayor parte  includes extends   herencia   hora  relacionar  casos  uso   confusion   estan bien relacionados  si   genera    hora  analizar  problema dado surjan anomalias,Comunicación,-1
 estructura  encuentra realizada  forma adecuada cuesta entender  secuencia  flujo   acciones   diagrama,Diseño,0
 actores especificados  correctos  necesarios   correcto funcionamiento   procesos   piden,Actores,1
 funcionalidad  ciertos casos  usos   especifica  casos  usos poseen numeracion  correcta estructura  decir verbo  infinitivo mas objeto existen casos  usos    necesarios hacen falta  casos  usos   necesarios,Casos de uso,0
 utiliza  forma adecuada  include  extend   mayoria  casos  usos  herencia  aplico  forma correcta existen include    necesarios realizar,Comunicación,0
 casos  uso    actores concuerdan   acciones  deben realizar  actores  bien,Diseño,1
  actores  correctos,Actores,1
 casos  usos estan bien enumerados empezando   cliente cu  terminando   gerente    cu,Casos de uso,1
 include  extend estan bien existe  correcta herencia  gerente  empleado,Comunicación,1
 estructura  correcta aunque  dificil  entender  diagrama  falta  login,Diseño,0
 actores definidos   diagrama  caso  uso  correctos   necesarios   correcto funcionamiento  sistema,Actores,1
 casos  uso estan completos aunque  unas funcionalidades   estan acorde   requerimientos  sintaxis   nombres   casos  uso  correcta   numeraciones  bien aplicada,Casos de uso,0
existe  mal uso  extend   caso  uso cu   caso  uso cu  include   caso  uso cu   caso  uso cu   necesario segun  requerimientos planteados  herencia aplicada   actorgerente   actor empleado    correcta debido     funcionalidades  empleado   realizadas   gerente segun  planteado   requerimientos,Comunicación,-1
 diseno  bien elaborado   buena estructura aunque  confusa  principio  puede mejorar  diseno ,Diseño,0
 actores estan bien especificados aunque  separados  retrospectiva  puede mejorar,Actores,0
 sintaxis  adecuada   casos  uso estan completos   entendibles  retrospectiva  bien elaborado,Casos de uso,1
 utilizan  include   extend  manera correcta   herencia puede ser mejorada haciendo    empleado  herede  cliente  metodos  poder hacer  sistema mas eficiente,Comunicación,0
 estructura  correcta  actores involucrados  caso  uso relacionado,Diseño,1
 actores especificados  reflejados  acuerdo  catalogo  requerimientos  cada   necesario  cumplir funcionalidades descritas,Actores,1
 nombres   casos  uso cumplen   sintaxis adecuada  estan numerados correctamente observaciones  primera   segun  catalogo  requerimientos unicamente  realizan reservas  automoviles   furgonetas   segunda   cancelar reserva_ automovil  deberia ser  caso  extiende  registrar reserva_automovil puesto  cancelar  ejecucion   reserva  curso  parte  flujo alterno  cancelar reserva_automovil  consultar reserva deben ser funcionalidades   cliente puede realizar  cualquier momento  cancelar reserva debe incluir  caso  uso consultar reserva_automovil  encontrar  reserva   cliente desea dar  baja,Casos de uso,0
 utiliza extend include  herencia  forma correcta  justificada segun  requerimiento,Comunicación,1
  casos  uso  invocan  manera correcta  casos  uso estan estructurados  manera correcta  casos  uso   errores  logicas considerables  casos  uso estan enumerados,Diseño,1
  actores   diagrama  casos  uso  fundamentales   sistema,Actores,1
 nombres   casos  uso  verbo  infinitivo  objeto  nombres   casos  uso estan enumerados correctamente  mayoria  casos  uso representan  manera correcta  funcionalidades  sistema,Casos de uso,1
 deberia haber herencia   actores  include  realizaron  manera correcta   usaron extends,Comunicación,0
 estructura  correcta    identifican bien  casos  uso,Diseño,0
  actores estan bien definidos  cumplen  necesario   sistema,Actores,1
 casos  uso cumple   requerido   utilizacion  verbo mas objeto,Casos de uso,1
 direccion   flecha   includes  extends  mal ubicada utilizandolos  forma incorrecta  herencia  casos  uso  encuentra correcta,Comunicación,-1
 estructura  diagrama si  bien   media confusa  respecto   caso  uso    existen relacion alguna,Diseño,0
 composicion   actores  sistema  correcto  estan relacionados   casos  uso,Actores,1
 general  funcionalidad  cada caso  confuso existen cosas    encuentran   especificadas   caso practico  primer lugar  existen  funcionalidad  autentificar   cliente     error grave  parte  disenador,Casos de uso,-1
general  comunicacion   caso  uso  bastante confusa  erronea   caso  uso registrar reserva automovil  debe consultar   include  consultar reserva automovil   extend,Comunicación,-1
 diagrama  casos  uso presenta  estructura desordenada   hace   comprension  diagrama  dificultoso   parte aunque presenta  actores   casos  usos relacionados  estan presentando  relacion desordenada   estructurada,Diseño,-1
 actores presentados   diagrama  casos  uso   necesarios  representar  sistema   implementacion  encuentra correcta,Actores,1
  indico anteriormente  tener  estructura desordenada     funcionalidad   bien definida    ciertas relaciones  casos  usos  mal especificada  ademas    uso adecuado aparte    sintaxis   casos  uso estan definidos  forma correcta   si  presentan  verbo infinitivo  objeto  si cuenta    casos  usos completos   correspondiente enumeracion,Casos de uso,-1
  diagrama  principal falla  encuentra   uso   extend   estan mal definidos   estan permitiendo   proceso fluya ademas  lugares   caso  uso invocado    retorne algun dato    emplean includes    existen errores   tipo presentando  mal diseno  estructura,Comunicación,-1
 diagrama  caso  uso  observa    mala aplicacion   relacion  autores  respecto   estructura    entendible,Diseño,-1
 diagrama  caso  uso  autores estan bien especificado  puede observar  funcionalidad  realiza   sistema,Actores,1
comenzando   sintaxis  observa  obtiene  sintaxis correcta   hora  aplicar  objeto   verbo  caso  uso contiene  codigo correspondiente  respecto   funcionalidad    entendible,Casos de uso,1
aplica  bien  include   extends   diagrama  caso  uso    aplica correctamente  herencia  caso  uso,Comunicación,0
 estructura  caso  uso   bien definida,Diseño,1
cada    actores especificados   caso  uso  necesarios,Actores,1
 sintaxis utilizada  escribir  nombre   casos  uso  correcta existe numeracion   casos  usos   casos  uso estan completos,Casos de uso,1
existe  utilizacion  forma correcta   include  extend  casos  usos  existe  uso  herencia   caso  uso,Comunicación,0
especifica  actores  caso  uso   entidades   parte   encuentran bien definidas  islas   casos  uso   llevan  ,Diseño,0
si   utilizado  actores respectivos   diagrama   relacion    concuerda,Actores,0
 varios casos  uso   encuentran  islas    funcionalidad  tal  mayoria  estan correctamente ubicados,Casos de uso,-1
 includes  extend  partes si estan bien    parte  mal relacionada   sentido  comunicacion  tal,Comunicación,0
 herencia  actores   especifica   respectiva simbologia  flecha,Diseño,-1
 actores  correctos,Actores,1
existen islas  casos  uso  conectan  forma confusa  casos  uso describen funcionalidades  especificas,Casos de uso,0
 casos  uso  deberian ser incluidos   si  mas bien especificarse internamente,Comunicación,-1
 relacion   casos  uso cu  cu   correcta,Diseño,-1
 actores  correctos  necesarios   desarrollo  sistema,Actores,1
  casos  usos   correspondiente numeracion  sintaxis  correcta,Casos de uso,1
  casos  usos cu  cu  representacion   relacion   bien,Comunicación,-1
 estructura  diagrama  correcta  actores involucrados  caso  uso relacionado,Diseño,1
 actores  encuentran bien especificados cada actor  representado  modelado  acuerdo   especificacion   requerimientos  cumplen funcionalidades,Actores,1
 sintaxis  adecuada aplicando numeracion ordenada verbos  infinitivo  objeto acerca   funcionalidades registrar reserva   operacion  realiza  cliente   diagrama  encuentra    usado  consultar reserva   reservas  consulta  cliente     existen  registrar reserva    subprograma  consultar reserva consultar  codigo  reserva puede ser definido dentro  consultar reserva gestionar altas  gestionar bajas deberia llamar   subfuncionalidad  consulte  lista  vehiculos registrar alquiler    subfuncionalidad  consultar alquiler,Casos de uso,0
 utiliza extend  include  forma correcta  justificada segun  requerimiento,Comunicación,1
 estructura  correcta  comunicaciones  casos  uso estan sobrepuestas,Diseño,1
 actores si estan especificados acorde   requerimientos  sistema,Actores,1
 funcionalidad descrita   diagrama  casos  uso  correcta  sintaxis  usaron  correcta   numeracion adecuada   casos  usos estan completos,Casos de uso,1
 utilizan  include  extends  formas correcta,Comunicación,-1
actores involucrados correctos segun  requerimientos actores correctamente relacionados   casos  usos,Diseño,1
 actores estan bien especificados   necesarios   sistema,Actores,1
 funcionalidad  representa  diagrama  precisa  sintaxis  adecuada   presentan numeracion,Casos de uso,0
presenta include  extend   herencia   union   casos  uso registrar contratofurgoneta  registrar contratoautomovil   especifica si  include  extend,Comunicación,-1
 observa  detalle  estructura  diagrama  caso  usos indicando   diseno si involucra  actores solicitados   relacion mediante cada caso  uso,Diseño,1
si  refleja especificamente  actores necesarios  caso  uso relacionado  sistema    tratando,Actores,1
 puede observar   contiene  numeracion ordenada   requiere   casos  uso  embargo  casos  uso estan completos aplicando  verbos  forma correcta,Casos de uso,0
si  especifica  uso   include extend  herencia dentro  caso  uso aunque  detalles minimos    requiere  sistema,Comunicación,0
 estructura   parece  correcta     relacion   actor  ,Diseño,-1
 actores estan     sistema utilizara,Actores,1
 funcionalidad   correcta   proceso completo aislado  llamado tambien isla   numeracion   ordenada si existe  verbo mas objeto    casos  uso,Casos de uso,-1
 proceso  utiliza  include  extends     mayoria   correcta,Comunicación,-1
 estructura  encuentra bastante adecuada existen casos  usos aislados  tambien conocidos  islas     correcto,Diseño,0
 actores involucrados   diagrama   necesarios  suficientes  poder resolver  problematica  cuestion estan correctos  actores,Actores,1
 existe numeracion   casos  usos  casos  usos utilizados  resuelven correctamente  especificacion  requerimientos  software  casos  usos  estan completos aun dependen   funcionalidad    encuentra detallada  implementada  estructura verbo  infinito mas  objeto  correcta,Casos de uso,-1
aplican  forma adecuada  extend include  generalizacion  embargo  casos  usos  estan formulados correctamente     dificil entender  flujo  secuencia  diagrama,Comunicación,0
especifica   empleado puede registrar  cliente    consta   caso  estudio  diagrama  caso  uso contiene islas,Diseño,-1
 actores   describen   caso  uso   necesarios  estan descritos   caso  estudio,Actores,1
 casos  uso   numeracion,Casos de uso,-1
 uso  include extend  herencia estan aplicados  forma correcta  cumplen   funcionalidad  caso  estudio,Comunicación,1
 diagrama  caso  uso consta   correcto diseno debido     actores  manipulan  sistema   respectivas funcionalidades,Diseño,1
 diagrama consta    actores cliente empleado  gerente  cuales manipularan  sistema,Actores,1
 diagrama   casos  usos   posee  enumeracion   falta  caso  uso,Casos de uso,0
 diagrama aplica  extend include   manera correcta   posee herencia   actores,Comunicación,0
posee  estructura correcta   encuentran islas   diagrama,Diseño,0
aunque  actores estan completos  organizados  encuentra   desorganizada,Actores,0
 estructura  diagrama   adecuada hacen falta  casos  uso,Casos de uso,-1
 diagrama carece   especificacion   herencias hacen falta  extend  include   mejor   casos     puede saber  ,Comunicación,-1
 casos  uso  invocan  manera incorrecta  casos  uso  errores  logicas   desarrollaran   criterios,Diseño,-1
  actores   pueden apreciar  fundamentales   sistema,Actores,1
 nombres   casos  uso  correctos  nombres   casos  uso  estan enumerados  casos  uso    actor empleado  reflejan  manera satisfactoria  funcionalidades expresadas   requerimientos  empleado  deberia poder activar  caso  uso registrar cliente casi  resto  casos  uso representan  manera suficiente  funcionalidades,Casos de uso,0
  menciono   criterio  diseno   errores  comunicacion   casos  uso  error   conexion  caso  uso registrar cliente   casos  uso registrar contratofurgoneta  registrar contratoautomovil  casos  uso registrar contratofurgoneta  registrar contratoautomovil  especifican si usan extends  include  deberia haber herencia   actores,Comunicación,-1
 estructura   casos  correcta debido   estan bien relacionados  constan    actores    posee   enumeracion   casos  uso,Diseño,0
 actores plasmados   adecuados debido   posee   actores     van  manipular  sistema    cliente  gerente   empleado,Actores,1
 conformacion   sintaxis  correcta    verbo mas objeto  embargo  existe  enumeracion   casos  uso   dificulta  entendimiento  diagrama,Casos de uso,0
 comunicacion   casos  uso   correcta  embargo  posee herencia   actores,Comunicación,0
 actores si  involucran   casos  uso   ciertas islas,Diseño,0
 actores estan especificados   necesarios   sistema,Actores,1
 aplica numeracion  si  verbo  infinito  objeto,Casos de uso,0
si utiliza extend  include herencia  aplica,Comunicación,0
  estructura  diagrama   bien  existen caso  uso     flujo   desea ir  actores involucrados  encuentran bien definidos,Diseño,-1
 actores involucrados   sistema  encuentran bien definidos,Actores,1
 sintaxis   nombres   caso  usos estan bien definidos   errores graves   funcionalidad  cada   funcionalidad  cancelar reserva   error  grave  existe  include  consultar reversar   mismo pasa   demas casos  uso   refiere  cliente  conexiones   empleado  cliente  debe existir,Casos de uso,-1
 flujo   include estan mal principalmente   empleado existen lineas  cuales   mensajes,Comunicación,-1
 diseno  caso  uso cumple   estipulado   requerimientos,Diseño,1
 tres actores  interactuan   sistema   adecuados,Actores,1
 casos  usos estan correctamente enumerados  secuencia logica cumplen   estructura verbo  objeto,Casos de uso,1
 include  extend estan direccionados correctamente,Comunicación,1
 estructura presentada  adecuada  relacion   actores   casos  uso  bastante adecuada,Diseño,1
 actores descritos   diagrama  casos  uso   adecuados  necesarios   sistema,Actores,1
 funcionalidad descrita    adecuada generaliza  casos  uso  casos  uso  estan completos  sintaxis utilizada  adecuada faltan casos  uso  especifiquen mejor  funcionalidad,Casos de uso,-1
 comunicacion  actores  casos  uso  adecuada  herencia aplicada  correcta  uso  extend  include  bastante adecuados,Comunicación,1
 estructura  diagrama   errores  cada actor  corresponden  casos  uso pertinentes segun    detallo   requerimientos,Diseño,1
 diagrama cuenta    actores necesarios    posibles  identificar   requerimientos  sistema   actores  encuentran bien definidos  etiquetados,Actores,1
 funcionalidad descrita  cumple casi   totalidad  sintaxis    casos  uso  correcta faltan  casos  uso   ejemplo generar reportes,Casos de uso,0
 include extends  herencia  emplean  manera correcta    casos  uso,Comunicación,1
 estructura  bien elaborada debido   contiene  actores   casos  usos relacionados  embargo  falta llevar  orden    mas facil  comprension  caso  uso,Diseño,0
 diagrama pose   actores  van  manipular  sistema,Actores,1
 funcionalidad  diagrama  bien definida   numeracion   nombre   casos  uso  embargo  funcionalidades   estan bien,Casos de uso,0
 diagrama pose herencia  include  extend  embargo  extend   correcto debido   direccion   flechas,Comunicación,0
 estructura  correcta   actores involucrados   casos  uso estructurados,Diseño,1
 actores   posiciones  correctas  existen herencias inadecuadas dentro  sistema,Actores,0
 casos  usos estan  correcto orden  estructura  correcta contiene verbo  infinitivo   casos  usos asignados   usuarios  diferentes   solicitados   sistema,Casos de uso,0
 colocaron include extend  herencias  sitios sumamente incorrectos  herencia  actores   bien aplicada   extend   sentido alguno,Comunicación,-1
 estructura  correcta involucra  actores relacionados   caso  uso,Diseño,1
 actores   diagrama estan bien especificados   necesarios   sistema,Actores,1
 funcionalidad medianamente correcta  sintaxis  adecuada aplicando  numeracion ordenada  casos  uso estan completos,Casos de uso,1
utilizan  extend  include  tan correctos  herencia  aplican correctamente,Comunicación,0
  estructura adecuada bien relacionados  cada actor  bien involucrado,Diseño,1
estan  relacionados  estan     entienden   especificaciones,Actores,1
estan  forma ordenadas cada cu enumerado  secuencia correcta  cumple   verbos  infinitivos,Casos de uso,1
 include  extends estan bien ubicados  direccionados,Comunicación,1
 estructura    elementos,Diseño,1
 parece correcto   actores necesarios,Actores,1
numeracion  casos  uso desordenados  funcionalidad  paciente   bien,Casos de uso,-1
 herencia  incorrecta,Comunicación,-1
 relacion   actores   funcionalidades  sistema si estan correctas cada actor cumple unicamente   rol   especificado   requerimientos  sistema  obstante existen  casos  uso   criterio personal  estan   correctos  faltarian  casos  uso  completar  todas  funcionalidades   sistema requiere,Diseño,0
 actores  estan especificados   diagrama  casos  uso   adecuados  cumplir    requerimientos establecidos,Actores,1
 casos  uso establecidos   diagrama  casos  uso estan correctos cada  cumple     sistema necesita tener implementado  faltan quizas    caso  uso    caso  registrar paciente     ningun caso  uso  haga dicho procedimiento,Casos de uso,0
 herencia  administrativo  paciente  incorrecta     especificado   diagrama  casos  uso indica   administrativo hereda  funcionalidades  paciente   realidad deberia ser  contrario      funcionalidad  solicitar cita   administrativo    paciente  relacion  extend   casos  uso asignar especialista  registrar historial   correcta   misma forma  relacion     casos  uso consultar cita  registrar historial,Comunicación,-1
 estructura  correcta cumple    requerido,Diseño,1
 actores estan bien definidos   necesarios   sistema,Actores,1
 funcionalidades descritas   correctas,Casos de uso,-1
 utilizacion  extends   forma correcta  utilizacion   include estan  forma correcta  utilizacion   herencia   casos    correcta,Comunicación,0
  diagrama estan  actores     casos  usos,Diseño,0
 actores estan bien especificados  si  necesarios   sistema,Actores,1
faltan  casos  usos  registrar paciente registrar diagnostico consultar diagnostico,Casos de uso,-1
 herencia   bien realizada    administrativo hereda   hace  paciente     ningun caso  uso     haciendo  administrativo deberia hacerlo  paciente tambien  caso  uso realizar operacion  q tener  include hacia consultar paciente,Comunicación,-1
 actores involucrados   casos  usos estan bien estructurados,Diseño,1
  actores colocados  necesitados   sistema  estan correctos,Actores,1
faltan varios casos  usos   sistema  registrar diagnostico consultar diagnostico    caso  uso cu   entiende  objeto   mal hecho,Casos de uso,-1
 mal hecha  herencia    entiende  proceso   comunicacion   casos  usos   actores tampoco existe  relacion  caso  uso cu   cu   ambos estan ligados   operacion,Comunicación,-1
  actores  caso  uso estan correctamente relacionados,Diseño,1
 actores estan correctamente plasmados   necesarios   sistema,Actores,1
 funcionalidad descrita     correcta    poder registrar historial debera   paciente   haciendo faltan casos  uso   asignar  tratamiento   realizar  diagnostico  ,Casos de uso,0
 paciente  hereda  administrativo solo  especialista  medico  si  muestra correctamente,Comunicación,-1
 falta  relacion  actor paciente   caso  uso solicitar cita,Diseño,-1
  actores involucrados   diagrama  necesarios   funcionamiento  sistema,Actores,1
falta  caos  usos  ejemplo    involucre  tratamiento asignado  paciente,Casos de uso,-1
 fecha  herencia  medico  especialista  mal ademas  deberia existir herencia  administrativo   paciente,Comunicación,-1
si comprende  diseno   actores  relacionado  casos  usos,Diseño,1
 encuentran   actores  intervienen   sistema,Actores,1
 casos  uso    funcionamientos correcto   caso  uso realizar operacion  cu    objeto correcto  faltan  casos  usos,Casos de uso,-1
 existe  comunicacion correcta  tambien  mal realizada  herencia,Comunicación,-1
 estructura  correcta   mayoria  actores involucrados  caso  uso relacionado,Diseño,1
 actores estan bien especificados   necesarios   sistema,Actores,1
 funcionalidad descrita  parcialmente correcta   mayoria,Casos de uso,0
  utiliza  extend   include  forma correcta existe  herencia  paciente  administrativo   deberia ir,Comunicación,-1
existen   actores  casos  uso requeridos,Diseño,1
 actores estan bien especificados   requeridos   sistema,Actores,1
 casos  uso  nombres  parecidos   diferenciarse,Casos de uso,0
buen uso  include extend  herencia,Comunicación,1
 estructura  bastante adecuada   requerido,Diseño,1
 actores  totalmente necesarios   sistema,Actores,1
 sintaxis   correcta  dos casos  uso   entidad medico    adecuada,Casos de uso,-1
 aplica include  extend  manera totalmente adecuada   diagrama,Comunicación,1
 estructura   errores,Diseño,1
 actores estan bien especificados  cumplen   necesidades  sistema,Actores,1
 funcionalidad  falta estructurarse bien faltan casos  usos  cumplen   estructura adecuada   sintaxis  correcta,Casos de uso,0
 uso  extend   include  correcto   herencia aplicada   correcta,Comunicación,0
 estructura   errores,Diseño,1
 actores  correctos,Actores,1
 sintaxis   correcta  dos casos  uso,Casos de uso,-1
 aplicacion  extend include  herencia  correctas,Comunicación,1
presenta  estructura correcta  embargo  puede apreciar casos  uso aislados   deberian  asi,Diseño,0
cuenta   cantidad  actores necesarios  obstante  nombres  especifican   bien  actor,Actores,0
 funcionalidad cuenta    mencionado   requerimientos   funcionamiento  general  plasma    menciona   requerimientos  sintaxis presentada cumple   establecido   casos  uso estan presentes,Casos de uso,0
 extend include  herencia   mayoria   casos  uso   forma correcta   manera  emplearlas   justifica   presentado   requerimientos,Comunicación,0
 estructura  correcta cumple    necesario    actores  casos  usos bien relacionados,Diseño,1
 actores representados   diagrama estan bien especificados   diferenciables cada    actores  necesario  requerido   ejercicio,Actores,1
 funcionalidad   describe   correcta    puede denotar casos  usos  tendencia  isla   pasa   caso  uso cu registrar datos  casos  uso  estan bien definidos debido    funcionamiento   bien planteada   diagrama  sintaxis  adecuada   sigue  numeracion ordenada   casos  uso usa verbos  infinitivo     asocia  objeto,Casos de uso,-1
 uso   herencia  bien planteado  ejecutado   lado  estereotipos extend     correcto  uso  includes  correctos,Comunicación,0
 estructura  correcta   casos  uso relacionados   correctos  ,Diseño,0
 actores identificados   correctos,Actores,1
 funcionalidad deja   desear  sintaxis  correcta,Casos de uso,-1
 utiliza extends  include  manera  apropiada,Comunicación,-1
 estructura  realizada  manera correcta    hizo buen uso   actores  casos  uso,Diseño,1
 actores  correctos aunque  cuenta   nombre  representativo    requerimientos,Actores,0
 funcionalidad    correcta   representa   requerimientos  debe  sintaxis  adecuada    casos  uso,Casos de uso,-1
 extend include  herencia estan utilizados  manera correcta  segun  requerimientos  permitirian hacer  procesos  sistema  manera correcta,Comunicación,0
 actores conectan  forma correcta   casos  uso  existe  isla   casos  uso realizados   paciente,Diseño,0
 actores estan bien especificados   necesarios   sistema  cumplir   requisitos  sistema,Actores,1
 funcionalidad  describen  casos  uso   correcta segun  requerimientos  numeracion   casos  uso   correcta   casos  uso  invocan   caso  uso    numero superior  nombre   casos  uso  correcto,Casos de uso,0
 uso  extend  include  correcto segun  requerimientos,Comunicación,1
 estructura  correcta,Diseño,1
 diagrama posee   actores requeridos   sistema,Actores,1
 funcionalidad  correcta  sintaxis  adecuada  cambia  nombre   mismo objeto  dos casos  uso,Casos de uso,0
uso innecesario  include existen casos  uso   estan refiriendo  ningun actor,Comunicación,-1
  actores estan relacionados  algun caso  uso   conexiones  correctas,Diseño,1
  actores  necesarios   sistema segun  indica  problematica planteada,Actores,1
 funcionalidad descrita   adecuada  sintaxis usada  correcta   casos  uso estan completos  numeracion  orden  prioridad    correcta,Casos de uso,0
existe  error    utiliza  herencia   especialista hacia medico cabecera,Comunicación,-1
 actores conectan  forma correcta   casos  uso,Diseño,1
cuenta   actores   necesarios   sistema,Actores,1
cuenta   sintaxis adecuada   cuenta   numeracion   hace imposible saber si estan adecuados     casos  uso completos,Casos de uso,0
