"Texto_Completo","Polaridad"
"Comunicación:  utiliza extend include  herencia  forma correcta  justificada segun  requerimiento",1
"Diseño:   casos  uso  invocan  manera correcta  casos  uso estan estructurados  manera correcta  casos  uso   errores  logicas considerables  casos  uso estan enumerados",1
"Actores:   actores   diagrama  casos  uso  fundamentales   sistema",1
"Casos de uso:  nombres   casos  uso  verbo  infinitivo  objeto  nombres   casos  uso estan enumerados correctamente  mayoria  casos  uso representan  manera correcta  funcionalidades  sistema",1
"Comunicación:  deberia haber herencia   actores  include  realizaron  manera correcta   usaron extends",0
"Diseño:  estructura  correcta    identifican bien  casos  uso",0
"Actores:   actores estan bien definidos  cumplen  necesario   sistema",1
"Casos de uso:  casos  uso cumple   requerido   utilizacion  verbo mas objeto",1
"Comunicación:  direccion   flecha   includes  extends  mal ubicada utilizandolos  forma incorrecta  herencia  casos  uso  encuentra correcta",-1
"Diseño:  estructura  diagrama si  bien   media confusa  respecto   caso  uso    existen relacion alguna",0
"Actores:  composicion   actores  sistema  correcto  estan relacionados   casos  uso",1
"Casos de uso:  general  funcionalidad  cada caso  confuso existen cosas    encuentran   especificadas   caso practico  primer lugar  existen  funcionalidad  autentificar   cliente     error grave  parte  disenador",-1
"Comunicación: general  comunicacion   caso  uso  bastante confusa  erronea   caso  uso registrar reserva automovil  debe consultar   include  consultar reserva automovil   extend",-1
"Diseño:  diagrama  casos  uso presenta  estructura desordenada   hace   comprension  diagrama  dificultoso   parte aunque presenta  actores   casos  usos relacionados  estan presentando  relacion desordenada   estructurada",-1
"Actores:  actores presentados   diagrama  casos  uso   necesarios  representar  sistema   implementacion  encuentra correcta",1
"Casos de uso:   indico anteriormente  tener  estructura desordenada     funcionalidad   bien definida    ciertas relaciones  casos  usos  mal especificada  ademas    uso adecuado aparte    sintaxis   casos  uso estan definidos  forma correcta   si  presentan  verbo infinitivo  objeto  si cuenta    casos  usos completos   correspondiente enumeracion",-1
"Comunicación:   diagrama  principal falla  encuentra   uso   extend   estan mal definidos   estan permitiendo   proceso fluya ademas  lugares   caso  uso invocado    retorne algun dato    emplean includes    existen errores   tipo presentando  mal diseno  estructura",-1
"Diseño:  diagrama  caso  uso  observa    mala aplicacion   relacion  autores  respecto   estructura    entendible",-1
"Actores:  diagrama  caso  uso  autores estan bien especificado  puede observar  funcionalidad  realiza   sistema",1
"Casos de uso: comenzando   sintaxis  observa  obtiene  sintaxis correcta   hora  aplicar  objeto   verbo  caso  uso contiene  codigo correspondiente  respecto   funcionalidad    entendible",1
"Comunicación: aplica  bien  include   extends   diagrama  caso  uso    aplica correctamente  herencia  caso  uso",0
"Diseño:  estructura  caso  uso   bien definida",1
"Actores: cada    actores especificados   caso  uso  necesarios",1
"Casos de uso:  sintaxis utilizada  escribir  nombre   casos  uso  correcta existe numeracion   casos  usos   casos  uso estan completos",1
"Comunicación: existe  utilizacion  forma correcta   include  extend  casos  usos  existe  uso  herencia   caso  uso",0
"Diseño: especifica  actores  caso  uso   entidades   parte   encuentran bien definidas  islas   casos  uso   llevan  ",0
"Actores: si   utilizado  actores respectivos   diagrama   relacion    concuerda",0
"Casos de uso:  varios casos  uso   encuentran  islas    funcionalidad  tal  mayoria  estan correctamente ubicados",-1
"Comunicación:  includes  extend  partes si estan bien    parte  mal relacionada   sentido  comunicacion  tal",0
"Diseño:  herencia  actores   especifica   respectiva simbologia  flecha",-1
"Actores:  actores  correctos",1
"Casos de uso: existen islas  casos  uso  conectan  forma confusa  casos  uso describen funcionalidades  especificas",0
"Comunicación:  casos  uso  deberian ser incluidos   si  mas bien especificarse internamente",-1
"Diseño:  relacion   casos  uso cu  cu   correcta",-1
"Actores:  actores  correctos  necesarios   desarrollo  sistema",1
"Casos de uso:   casos  usos   correspondiente numeracion  sintaxis  correcta",1
"Comunicación:   casos  usos cu  cu  representacion   relacion   bien",-1
"Diseño:  estructura  diagrama  correcta  actores involucrados  caso  uso relacionado",1
"Actores:  actores  encuentran bien especificados cada actor  representado  modelado  acuerdo   especificacion   requerimientos  cumplen funcionalidades",1
"Casos de uso:  sintaxis  adecuada aplicando numeracion ordenada verbos  infinitivo  objeto acerca   funcionalidades registrar reserva   operacion  realiza  cliente   diagrama  encuentra    usado  consultar reserva   reservas  consulta  cliente     existen  registrar reserva    subprograma  consultar reserva consultar  codigo  reserva puede ser definido dentro  consultar reserva gestionar altas  gestionar bajas deberia llamar   subfuncionalidad  consulte  lista  vehiculos registrar alquiler    subfuncionalidad  consultar alquiler",0
"Comunicación:  utiliza extend  include  forma correcta  justificada segun  requerimiento",1
"Diseño:  estructura  correcta  comunicaciones  casos  uso estan sobrepuestas",1
"Actores:  actores si estan especificados acorde   requerimientos  sistema",1
"Casos de uso:  funcionalidad descrita   diagrama  casos  uso  correcta  sintaxis  usaron  correcta   numeracion adecuada   casos  usos estan completos",1
"Comunicación:  utilizan  include  extends  formas correcta",-1
"Diseño: actores involucrados correctos segun  requerimientos actores correctamente relacionados   casos  usos",1
"Actores:  actores estan bien especificados   necesarios   sistema",1
"Casos de uso:  funcionalidad  representa  diagrama  precisa  sintaxis  adecuada   presentan numeracion",0
"Comunicación: presenta include  extend   herencia   union   casos  uso registrar contratofurgoneta  registrar contratoautomovil   especifica si  include  extend",-1
"Diseño:  observa  detalle  estructura  diagrama  caso  usos indicando   diseno si involucra  actores solicitados   relacion mediante cada caso  uso",1
"Actores: si  refleja especificamente  actores necesarios  caso  uso relacionado  sistema    tratando",1
"Casos de uso:  puede observar   contiene  numeracion ordenada   requiere   casos  uso  embargo  casos  uso estan completos aplicando  verbos  forma correcta",0
"Comunicación: si  especifica  uso   include extend  herencia dentro  caso  uso aunque  detalles minimos    requiere  sistema",0
"Diseño:  estructura   parece  correcta     relacion   actor  ",-1
"Actores:  actores estan     sistema utilizara",1
"Casos de uso:  funcionalidad   correcta   proceso completo aislado  llamado tambien isla   numeracion   ordenada si existe  verbo mas objeto    casos  uso",-1
"Comunicación:  proceso  utiliza  include  extends     mayoria   correcta",-1
"Diseño:  estructura  encuentra bastante adecuada existen casos  usos aislados  tambien conocidos  islas     correcto",0
"Actores:  actores involucrados   diagrama   necesarios  suficientes  poder resolver  problematica  cuestion estan correctos  actores",1
"Casos de uso:  existe numeracion   casos  usos  casos  usos utilizados  resuelven correctamente  especificacion  requerimientos  software  casos  usos  estan completos aun dependen   funcionalidad    encuentra detallada  implementada  estructura verbo  infinito mas  objeto  correcta",-1
"Comunicación: aplican  forma adecuada  extend include  generalizacion  embargo  casos  usos  estan formulados correctamente     dificil entender  flujo  secuencia  diagrama",0
"Diseño: especifica   empleado puede registrar  cliente    consta   caso  estudio  diagrama  caso  uso contiene islas",-1
"Actores:  actores   describen   caso  uso   necesarios  estan descritos   caso  estudio",1
"Casos de uso:  casos  uso   numeracion",-1
"Comunicación:  uso  include extend  herencia estan aplicados  forma correcta  cumplen   funcionalidad  caso  estudio",1
"Diseño:  diagrama  caso  uso consta   correcto diseno debido     actores  manipulan  sistema   respectivas funcionalidades",1
"Actores:  diagrama consta    actores cliente empleado  gerente  cuales manipularan  sistema",1
"Casos de uso:  diagrama   casos  usos   posee  enumeracion   falta  caso  uso",0
"Comunicación:  diagrama aplica  extend include   manera correcta   posee herencia   actores",0
"Diseño: posee  estructura correcta   encuentran islas   diagrama",0
"Actores: aunque  actores estan completos  organizados  encuentra   desorganizada",0
"Casos de uso:  estructura  diagrama   adecuada hacen falta  casos  uso",-1
"Comunicación:  diagrama carece   especificacion   herencias hacen falta  extend  include   mejor   casos     puede saber  ",-1
"Diseño:  casos  uso  invocan  manera incorrecta  casos  uso  errores  logicas   desarrollaran   criterios",-1
"Actores:   actores   pueden apreciar  fundamentales   sistema",1
"Casos de uso:  nombres   casos  uso  correctos  nombres   casos  uso  estan enumerados  casos  uso    actor empleado  reflejan  manera satisfactoria  funcionalidades expresadas   requerimientos  empleado  deberia poder activar  caso  uso registrar cliente casi  resto  casos  uso representan  manera suficiente  funcionalidades",0
"Comunicación:   menciono   criterio  diseno   errores  comunicacion   casos  uso  error   conexion  caso  uso registrar cliente   casos  uso registrar contratofurgoneta  registrar contratoautomovil  casos  uso registrar contratofurgoneta  registrar contratoautomovil  especifican si usan extends  include  deberia haber herencia   actores",-1
"Diseño:  estructura   casos  correcta debido   estan bien relacionados  constan    actores    posee   enumeracion   casos  uso",0
"Actores:  actores plasmados   adecuados debido   posee   actores     van  manipular  sistema    cliente  gerente   empleado",1
"Casos de uso:  conformacion   sintaxis  correcta    verbo mas objeto  embargo  existe  enumeracion   casos  uso   dificulta  entendimiento  diagrama",0
"Comunicación:  comunicacion   casos  uso   correcta  embargo  posee herencia   actores",0
"Diseño:  actores si  involucran   casos  uso   ciertas islas",0
"Actores:  actores estan especificados   necesarios   sistema",1
"Casos de uso:  aplica numeracion  si  verbo  infinito  objeto",0
"Comunicación: si utiliza extend  include herencia  aplica",0
"Diseño:   estructura  diagrama   bien  existen caso  uso     flujo   desea ir  actores involucrados  encuentran bien definidos",-1
"Actores:  actores involucrados   sistema  encuentran bien definidos",1
"Casos de uso:  sintaxis   nombres   caso  usos estan bien definidos   errores graves   funcionalidad  cada   funcionalidad  cancelar reserva   error  grave  existe  include  consultar reversar   mismo pasa   demas casos  uso   refiere  cliente  conexiones   empleado  cliente  debe existir",-1
"Comunicación:  flujo   include estan mal principalmente   empleado existen lineas  cuales   mensajes",-1
"Diseño:  diseno  caso  uso cumple   estipulado   requerimientos",1
"Actores:  tres actores  interactuan   sistema   adecuados",1
"Casos de uso:  casos  usos estan correctamente enumerados  secuencia logica cumplen   estructura verbo  objeto",1
"Comunicación:  include  extend estan direccionados correctamente",1
"Diseño:  estructura presentada  adecuada  relacion   actores   casos  uso  bastante adecuada",1
"Actores:  actores descritos   diagrama  casos  uso   adecuados  necesarios   sistema",1
"Casos de uso:  funcionalidad descrita    adecuada generaliza  casos  uso  casos  uso  estan completos  sintaxis utilizada  adecuada faltan casos  uso  especifiquen mejor  funcionalidad",-1
"Comunicación:  comunicacion  actores  casos  uso  adecuada  herencia aplicada  correcta  uso  extend  include  bastante adecuados",1
"Diseño:  estructura  diagrama   errores  cada actor  corresponden  casos  uso pertinentes segun    detallo   requerimientos",1
"Actores:  diagrama cuenta    actores necesarios    posibles  identificar   requerimientos  sistema   actores  encuentran bien definidos  etiquetados",1
"Casos de uso:  funcionalidad descrita  cumple casi   totalidad  sintaxis    casos  uso  correcta faltan  casos  uso   ejemplo generar reportes",0
"Comunicación:  include extends  herencia  emplean  manera correcta    casos  uso",1
"Diseño:  estructura  bien elaborada debido   contiene  actores   casos  usos relacionados  embargo  falta llevar  orden    mas facil  comprension  caso  uso",0
"Actores:  diagrama pose   actores  van  manipular  sistema",1
"Casos de uso:  funcionalidad  diagrama  bien definida   numeracion   nombre   casos  uso  embargo  funcionalidades   estan bien",0
"Comunicación:  diagrama pose herencia  include  extend  embargo  extend   correcto debido   direccion   flechas",0
"Diseño:  estructura  correcta   actores involucrados   casos  uso estructurados",1
"Actores:  actores   posiciones  correctas  existen herencias inadecuadas dentro  sistema",0
"Casos de uso:  casos  usos estan  correcto orden  estructura  correcta contiene verbo  infinitivo   casos  usos asignados   usuarios  diferentes   solicitados   sistema",0
"Comunicación:  colocaron include extend  herencias  sitios sumamente incorrectos  herencia  actores   bien aplicada   extend   sentido alguno",-1
"Diseño:  estructura  correcta involucra  actores relacionados   caso  uso",1
"Actores:  actores   diagrama estan bien especificados   necesarios   sistema",1
"Casos de uso:  funcionalidad medianamente correcta  sintaxis  adecuada aplicando  numeracion ordenada  casos  uso estan completos",1
"Comunicación: utilizan  extend  include  tan correctos  herencia  aplican correctamente",0
"Diseño:   estructura adecuada bien relacionados  cada actor  bien involucrado",1
"Actores: estan  relacionados  estan     entienden   especificaciones",1
"Casos de uso: estan  forma ordenadas cada cu enumerado  secuencia correcta  cumple   verbos  infinitivos",1
"Comunicación:  include  extends estan bien ubicados  direccionados",1
"Diseño:  estructura    elementos",1
"Actores:  parece correcto   actores necesarios",1
"Casos de uso: numeracion  casos  uso desordenados  funcionalidad  paciente   bien",-1
"Comunicación:  herencia  incorrecta",-1
"Diseño:  relacion   actores   funcionalidades  sistema si estan correctas cada actor cumple unicamente   rol   especificado   requerimientos  sistema  obstante existen  casos  uso   criterio personal  estan   correctos  faltarian  casos  uso  completar  todas  funcionalidades   sistema requiere",0
"Actores:  actores  estan especificados   diagrama  casos  uso   adecuados  cumplir    requerimientos establecidos",1
"Casos de uso:  casos  uso establecidos   diagrama  casos  uso estan correctos cada  cumple     sistema necesita tener implementado  faltan quizas    caso  uso    caso  registrar paciente     ningun caso  uso  haga dicho procedimiento",0
"Comunicación:  herencia  administrativo  paciente  incorrecta     especificado   diagrama  casos  uso indica   administrativo hereda  funcionalidades  paciente   realidad deberia ser  contrario      funcionalidad  solicitar cita   administrativo    paciente  relacion  extend   casos  uso asignar especialista  registrar historial   correcta   misma forma  relacion     casos  uso consultar cita  registrar historial",-1
"Diseño:  estructura  correcta cumple    requerido",1
"Actores:  actores estan bien definidos   necesarios   sistema",1
"Casos de uso:  funcionalidades descritas   correctas",-1
"Comunicación:  utilizacion  extends   forma correcta  utilizacion   include estan  forma correcta  utilizacion   herencia   casos    correcta",0
"Diseño:   diagrama estan  actores     casos  usos",0
"Actores:  actores estan bien especificados  si  necesarios   sistema",1
"Casos de uso: faltan  casos  usos  registrar paciente registrar diagnostico consultar diagnostico",-1
"Comunicación:  herencia   bien realizada    administrativo hereda   hace  paciente     ningun caso  uso     haciendo  administrativo deberia hacerlo  paciente tambien  caso  uso realizar operacion  q tener  include hacia consultar paciente",-1
"Diseño:  actores involucrados   casos  usos estan bien estructurados",1
"Actores:   actores colocados  necesitados   sistema  estan correctos",1
"Casos de uso: faltan varios casos  usos   sistema  registrar diagnostico consultar diagnostico    caso  uso cu   entiende  objeto   mal hecho",-1
"Comunicación:  mal hecha  herencia    entiende  proceso   comunicacion   casos  usos   actores tampoco existe  relacion  caso  uso cu   cu   ambos estan ligados   operacion",-1
"Diseño:   actores  caso  uso estan correctamente relacionados",1
"Actores:  actores estan correctamente plasmados   necesarios   sistema",1
"Casos de uso:  funcionalidad descrita     correcta    poder registrar historial debera   paciente   haciendo faltan casos  uso   asignar  tratamiento   realizar  diagnostico  ",0
"Comunicación:  paciente  hereda  administrativo solo  especialista  medico  si  muestra correctamente",-1
"Diseño:  falta  relacion  actor paciente   caso  uso solicitar cita",-1
"Actores:   actores involucrados   diagrama  necesarios   funcionamiento  sistema",1
"Casos de uso: falta  caos  usos  ejemplo    involucre  tratamiento asignado  paciente",-1
"Comunicación:  fecha  herencia  medico  especialista  mal ademas  deberia existir herencia  administrativo   paciente",-1
"Diseño: si comprende  diseno   actores  relacionado  casos  usos",1
"Actores:  encuentran   actores  intervienen   sistema",1
"Casos de uso:  casos  uso    funcionamientos correcto   caso  uso realizar operacion  cu    objeto correcto  faltan  casos  usos",-1
"Comunicación:  existe  comunicacion correcta  tambien  mal realizada  herencia",-1
"Diseño:  estructura  correcta   mayoria  actores involucrados  caso  uso relacionado",1
"Actores:  actores estan bien especificados   necesarios   sistema",1
"Casos de uso:  funcionalidad descrita  parcialmente correcta   mayoria",0
"Comunicación:   utiliza  extend   include  forma correcta existe  herencia  paciente  administrativo   deberia ir",-1
"Diseño: existen   actores  casos  uso requeridos",1
"Actores:  actores estan bien especificados   requeridos   sistema",1
"Casos de uso:  casos  uso  nombres  parecidos   diferenciarse",0
"Comunicación: buen uso  include extend  herencia",1
"Diseño:  estructura  bastante adecuada   requerido",1
"Actores:  actores  totalmente necesarios   sistema",1
"Casos de uso:  sintaxis   correcta  dos casos  uso   entidad medico    adecuada",-1
"Comunicación:  aplica include  extend  manera totalmente adecuada   diagrama",1
"Diseño:  estructura   errores",1
"Actores:  actores estan bien especificados  cumplen   necesidades  sistema",1
"Casos de uso:  funcionalidad  falta estructurarse bien faltan casos  usos  cumplen   estructura adecuada   sintaxis  correcta",0
"Comunicación:  uso  extend   include  correcto   herencia aplicada   correcta",0
"Diseño:  estructura   errores",1
"Actores:  actores  correctos",1
"Casos de uso:  sintaxis   correcta  dos casos  uso",-1
"Comunicación:  aplicacion  extend include  herencia  correctas",1
"Diseño: presenta  estructura correcta  embargo  puede apreciar casos  uso aislados   deberian  asi",0
"Actores: cuenta   cantidad  actores necesarios  obstante  nombres  especifican   bien  actor",0
"Casos de uso:  funcionalidad cuenta    mencionado   requerimientos   funcionamiento  general  plasma    menciona   requerimientos  sintaxis presentada cumple   establecido   casos  uso estan presentes",0
"Comunicación:  extend include  herencia   mayoria   casos  uso   forma correcta   manera  emplearlas   justifica   presentado   requerimientos",0
"Diseño:  estructura  correcta cumple    necesario    actores  casos  usos bien relacionados",1
"Actores:  actores representados   diagrama estan bien especificados   diferenciables cada    actores  necesario  requerido   ejercicio",1
"Casos de uso:  funcionalidad   describe   correcta    puede denotar casos  usos  tendencia  isla   pasa   caso  uso cu registrar datos  casos  uso  estan bien definidos debido    funcionamiento   bien planteada   diagrama  sintaxis  adecuada   sigue  numeracion ordenada   casos  uso usa verbos  infinitivo     asocia  objeto",-1
"Comunicación:  uso   herencia  bien planteado  ejecutado   lado  estereotipos extend     correcto  uso  includes  correctos",0
"Diseño:  estructura  correcta   casos  uso relacionados   correctos  ",0
"Actores:  actores identificados   correctos",1
"Casos de uso:  funcionalidad deja   desear  sintaxis  correcta",-1
"Comunicación:  utiliza extends  include  manera  apropiada",-1
"Diseño:  estructura  realizada  manera correcta    hizo buen uso   actores  casos  uso",1
"Actores:  actores  correctos aunque  cuenta   nombre  representativo    requerimientos",0
"Casos de uso:  funcionalidad    correcta   representa   requerimientos  debe  sintaxis  adecuada    casos  uso",-1
"Comunicación:  extend include  herencia estan utilizados  manera correcta  segun  requerimientos  permitirian hacer  procesos  sistema  manera correcta",0
"Diseño:  actores conectan  forma correcta   casos  uso  existe  isla   casos  uso realizados   paciente",0
"Actores:  actores estan bien especificados   necesarios   sistema  cumplir   requisitos  sistema",1
"Casos de uso:  funcionalidad  describen  casos  uso   correcta segun  requerimientos  numeracion   casos  uso   correcta   casos  uso  invocan   caso  uso    numero superior  nombre   casos  uso  correcto",0
"Comunicación:  uso  extend  include  correcto segun  requerimientos",1
"Diseño:  estructura  correcta",1
"Actores:  diagrama posee   actores requeridos   sistema",1
"Casos de uso:  funcionalidad  correcta  sintaxis  adecuada  cambia  nombre   mismo objeto  dos casos  uso",0
"Comunicación: uso innecesario  include existen casos  uso   estan refiriendo  ningun actor",-1
"Diseño:   actores estan relacionados  algun caso  uso   conexiones  correctas",1
"Actores:   actores  necesarios   sistema segun  indica  problematica planteada",1
"Casos de uso:  funcionalidad descrita   adecuada  sintaxis usada  correcta   casos  uso estan completos  numeracion  orden  prioridad    correcta",0
"Comunicación: existe  error    utiliza  herencia   especialista hacia medico cabecera",-1
"Diseño:  actores conectan  forma correcta   casos  uso",1
"Actores: cuenta   actores   necesarios   sistema",1
"Casos de uso: cuenta   sintaxis adecuada   cuenta   numeracion   hace imposible saber si estan adecuados     casos  uso completos",0
"Comunicación:  includes  extend estan aplicados  manera correcta",1
"Diseño:  estructura   bien relacionada  ejemplo   dejando  unas islas  aparte  casos  usos  paciente  actores medico cabecera  especialista  estan relacionados",-1
"Actores:  actores involucrados si  necesarios   funcionamiento  sistema",1
"Casos de uso:    manera ordena  casos  usos",-1
"Comunicación:    herencia   actores medico cabecera  especialista   aplica correctamente   comunicacion   cu  cu  casos  usos  actor paciente  estan integrados  sistema",-1
"Diseño:  estructura  correcta  actores involucrados  caso  uso relacionado",1
"Actores:  actores estan bien especificados   necesarios   sistema",1
"Casos de uso:  funcionalidad   correcta   casos  uso estan completos",1
"Comunicación:   aplica herencia   actores medico cabecera  especialista    correcta comunicacion   caso registrar cita   casos consultar cita asignar cita  casos  uso  actor paciente  estan integrados  sistema",-1
"Diseño:  estructura hecha  correcta mostrando  actores   casos  uso necesarios",1
"Actores:  logra visualizar   actores necesarios   sistema",1
"Casos de uso: cada caso  uso describe  funcionalidad correctamente",1
"Comunicación: existen comunicaciones  pueden confundir dentro  diagrama",-1
"Diseño:  estructura  carencia  logica",-1
"Actores:    actores  caso planteado",1
"Casos de uso:  mayoria   casos  uso  incorrectos",-1
"Comunicación:  utiliza  manera  correcta  uso  extend include  herencia",-1
"Diseño:  estructura   adecuada   relacion  actores  casos  uso",-1
"Actores:  actores estan especificados   sistema   necesarios   desarrollo",1
"Casos de uso:  funcionalidad   correcta   casos  uso  casos  uso   numeracion   estan completos",-1
"Comunicación:  extend   caso  uso   correcto",-1
"Diseño:  existen errores  estructura",1
"Actores:  actores estan bien especificados",1
"Casos de uso:  funcionalidad descrita   correcta  sintaxis   bien especificada  faltan casos  uso",-1
"Comunicación:  forma    usa  extend include  herencia    forma correcta   justifica totalmente  funcionalidades",-1
"Diseño:  estructura  correcta  muestran   actores involucrados",1
"Actores:  actores   necesarios   sistema",1
"Casos de uso:  casos  usos   encuentran numerados  funcionalidad descrita     correcta existen casos  uso     realizando ningun actor",-1
"Comunicación:  uso  include   justificado   casos",-1
"Diseño:  estructura  incorrecta  ineficiente  actores   casos  uso estan mal relacionados",-1
"Actores:  actores estan especificados  involucrados correctamente",1
"Casos de uso:  sintaxis  inadecuada  casos  uso  estan enumerados faltan casos  uso segun  especificaciones",-1
"Comunicación:  include   mal utilizado  extend   mal utilizado  comunicacion   adecuada segun  requerimientos",-1
"Diseño:  estructura     adecuada",-1
"Actores:  actores    necesarios   sistema",-1
"Casos de uso:  funcionalidad descrita   correcta   numeracion   casos  usos faltan casos  usos",0
"Comunicación:  include   mal utilizado  extend   mal utilizado  comunicacion   adecuada segun  requerimientos",-1
"Diseño:  estructura  parcialmente correcta",0
"Actores:  encuentran   actores necesario",1
"Casos de uso:  casos  uso   comprenden",-1
"Comunicación:  include   mal utilizado  extend   mal utilizado  comunicacion   adecuada segun  requerimientos",-1
"Diseño: usa  forma correcta  actores   casos  uso evitando  exista algun error   diagrama",1
"Actores:   actores  necesarios   diagrama  estan plasmados  forma correcta",1
"Casos de uso:  funcionalidad descrita   adecuada  medico general  podra ver  historial sino existe primero  registro  historial   pacientes consultando   pacientes existentes  paciente solo podra solicitar cita  puede mostrar tratamiento validar usuario  mostrar cita    medico general pueda asignar  tratamiento debe  realizar diagnostico  consultar paciente     implementado  hace  falten  casos  uso  cuenta   numeracion   casos  uso  dificulta  visibilidad   prioridad  ejecucion",-1
"Comunicación: utiliza  herencia  forma incorrecta    va  paciente  personal administrativo sino  medico especialista  medico general  extend  aplica mal  deberia  dentro   caso  uso  vaya  realizar operacion   realiza  medico especialista",-1
"Diseño:  estructura   correcta  actores involucrados  caso  uso relacionados",1
"Actores:  actores estan bien especificados   necesarios   sistema",1
"Casos de uso:  funcionalidad descrita  correcta   mayoria  casos  uso  cuentan  numeraciones    casos  uso estan completos",0
"Comunicación:  utiliza extend include  herencia  forma correcta   mayoria  justificada segun  requerimiento  actor paciente  heredando  acciones   actor personal administrativo",1
"Diseño:  estructura   errores",1
"Actores:  encuentran   actores  participan   programa",1
"Casos de uso:  casos  uso   funcionalidad correcta",-1
"Comunicación: modificar historial   conexiones directa   actor    comunicacion  incorrecta",-1
"Diseño:  estructurado correctamente  parte  diagrama   actores   casos  uso",1
"Actores:  encuentran   actores requeridos   sistema",1
"Casos de uso:  casos  uso transmiten correctamente  funcionalidad   encuentran enumerados  casos  uso  casos  uso  estan completos",-1
"Comunicación: mal uso   parte  includes dentro  diagrama  mala practica  herencia",-1
"Diseño: existe  presciencia  casos  usos   deberian ",-1
"Actores:  actores estan debidamente establecidos",1
"Casos de uso: cumple   requisitos   casos  uso   deberian ",0
"Comunicación: existe buena comunicacion    casos  uso  aplica  manera correcta  include extend  herencia",1
"Diseño:  estructura  diagrama  casos  uso  correcta",1
"Actores:  actores estan bien especificados   necesarios   sistema",1
"Casos de uso:  funcionalidad descrita   casos  uso  correcta segun  caso  estudio  casos  uso estan escritos   verbo  infinitivo   objeto   numeracion   ordenada",0
"Comunicación:  extend   herencia estan utilizados  forma correcta    include  invocan casos  uso   corresponden    caso  cu asignar especialista  invoca  cu solicitar cita",0
"Diseño:  existe concordancia   casos  uso debido    estructura    correcta",-1
"Actores:  actores estan bien definidos    necesarios   sistema debido     intervienen   proceso",1
"Casos de uso: existen casos  usos   estan bien definidos debido     cumplen   funcionalidad  sistema   lado  sintaxis  encuentra correcta",-1
"Comunicación: referente   herencia  paciente  administrador   bien realizada debido    paciente hereda   administrador   paciente  puede registrar paciente",-1
"Diseño:  relacion  caso  usos  actores  comunicacion  correcta",1
"Actores:  actores estan completos   necesarios   sistema",1
"Casos de uso: si  numeracion   casos  usos  casos  usos si estan bien formados  verbos  objetos   casos  usos  estan  mas tambien  caso  uso registrar paciente  hace  paciente  deberia hacerlo  administrativo falta  caso  uso consultar historial",0
"Comunicación:  herencia  includes  extends estan  forma correcta",1
"Diseño:    bien  acuerdo   requisitos colocados    diseno   informacion puesta",1
"Actores:   actores necesarios   sistema estan colocados",1
"Casos de uso:  sintaxis   casos  uso   bien   estructura igual   ende  funcionalidad  correcta",1
"Comunicación: si  utiliza  manera correcta   puntos   herencia  include   extend",1
"Diseño:  estructura  actores  casos  uso  correcta",1
"Actores: cuenta   actores necesarios  dicho sistema",1
"Casos de uso:  sintaxis  correcta  parte   numeracion   caso  uso tambien correcta cuenta   caso  uso    solicitan   ejercicio  registrar medico    paciente  deberia registrarse   mismo",0
"Comunicación:   caso  uso cu  medico       volver  solicitar  cita si    paciente   describe   problema",-1
"Diseño:  encuentra correctamente toda  informacion   diseno",1
"Actores: si estan   actores  manipulan  sistema",1
"Casos de uso:  estructura  caso  uso  correcto  presentan  funcionalidad correcta",1
"Comunicación: si estan comunicado correctamente  casos  usos mediante  include   extend",1
"Diseño:  estructura  correcta  contiene actores  casos  uso",1
"Actores:  actores estan bien especificados  pertenecen  sistema",1
"Casos de uso:  funcionalidad   presenta  correcta  sintaxis  incorrecta    casos  uso  contienen  verbo  infinitivo  mas   objeto ademas  numeracion  encuentra  desorden",0
"Comunicación: existen extend   lugar   ejemplo   caso  uso actualizar tratamiento    extend hacia registrar cita  include  conectan   caso  uso actualizar hacia  caso  uso actualizar",-1
"Diseño:  estructura  correcta contiene   requerido",1
"Actores:  actores estan bien definidos   necesarios   sistema",1
"Casos de uso:  funcionalidades descritas  correctas  sintaxis   correcta",1
"Comunicación:  utilizacion  herencia   forma correcta  utilizacion   include estan  forma correcta  utilizacion   extends   casos    correcta",0
"Diseño:  existen errores  estructura",1
"Actores:   actores  correctos",1
"Casos de uso:  mayoria   casos  uso  numeracion aunque   desordenada",0
"Comunicación:  comunicacion  casos  uso  actores  incorrecta",-1
"Diseño:  caso  uso   estructura adecuada",1
"Actores:  actores  especifican correctamente",1
"Casos de uso:  casos  uso  siguen  sintaxis adecuada",-1
"Comunicación: comunicaciones correctamente aplicadas",1
"Diseño:  estructura  diagrama  clase  uso  correcto cuenta  relacion correcta   actores  casos  uso",1
"Actores:  diagrama  caso  uso cuenta   actores necesarios   sistema",1
"Casos de uso:  diagrama  caso  uso cuenta  varios errores   sintaxis une  verbo   poniendo mas   objeto  parte   numeracion  casos   hace  manera correcta   primero coloca  caso  uso  despues  include hacia   necesita  anterior",-1
"Comunicación:  estereotipos  estan correctos   ejemplo  cu  cu  cuenta      hace    solicita   sistema",-1
"Diseño:   entienden bien  lineas  relacion   caso  uso  actores",-1
"Actores:  actores   necesarios   sistema",1
"Casos de uso:  estan bien escrito  hace bien  consultas  cu  consulta  cita registrada  cu  consulta  paciente registrado",-1
"Comunicación:  include   mal utilizado  extend   mal utilizado",-1
"Diseño:  estructura  correcta",1
"Actores:  actores estan bien especificados   necesarios   sistema",1
"Casos de uso:  sintaxis  correcta",1
